Definition,Definition (Numbers),Display Name,Display Name (Numbers),Regular Expression,Kind/Type Order,Units/Facets (Boolean),Units/Facets (String/Enumeration),Units/Facets (Imperial),Units/Facets (Metric),Precision (Imperial),Precision (Metric),Stage,Phase,Markers,Equipment
twrBypassFlowHiSp,twrBypassFlowXXXXHiSp,Tower Bypass Flow High Setpoint,Tower Bypass Flow XX High Setpoint,"twrBypassFlow(\d{0,4})HiSp",Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,bypass,flow,high,sp",TWR
twrBypassFlowLoSp,twrBypassFlowXXXXLoSp,Tower Bypass Flow Low Setpoint,Tower Bypass Flow XX Low Setpoint,"twrBypassFlow(\d{0,4})LoSp",Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,bypass,flow,low,sp",TWR
twrBypassFlowMaxSp,twrBypassFlowXXXXMaxSp,Tower Bypass Flow Max Reset Setpoint,Tower Bypass Flow XX Max Reset Setpoint,"twrBypassFlow(\d{0,4})MaxSp",Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,bypass,flow,max,sp",TWR
twrBypassFlowMinSp,twrBypassFlowXXXXMinSp,Tower Bypass Flow Min Reset Setpoint,Tower Bypass Flow XX Min Reset Setpoint,"twrBypassFlow(\d{0,4})MinSp",Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,bypass,flow,min,sp",TWR
twrBypassFlowSp,twrBypassFlowXXXXSp,Tower Bypass Flow Setpoint,Tower Bypass Flow XX Setpoint,"twrBypassFlow(\d{0,4})Sp",Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,bypass,flow,effective,sp",TWR
twrBypassTemp,twrBypassTempXXXX,Tower Bypass Temperature,Tower Bypass Temperature XX,"twrBypassTemp(\d{0,4})",Number,,,fahrenheit,celsius,1,1,,,"condensed,water,bypass,temp,sensor",TWR
twrBypassValve,twrBypassValveXXXX,Tower Bypass Valve Command,Tower Bypass Valve XX Command,"twrBypassValve(\d{0,4})",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,bypass,valve,position,cmd",TWR
twrBypassValveFb,twrBypassValveXXXXFb,Tower Bypass Valve Feedback,Tower Bypass Valve XX Feedback,"twrBypassValve(\d{0,4})Fb",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,bypass,valve,position,sensor",TWR
twrBypassValveOvr,twrBypassValveXXXXOvr,Tower Bypass Valve Override,Tower Bypass Valve XX Override,"twrBypassValve(\d{0,4})Ovr",Number,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,bypass,valve,position,ovr",TWR
twrDamper,twrDamperXXXX,Tower Damper Command,Tower Damper XX Command,"twrDamper(\d{0,4})",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"tower,damper,air,position,cmd",TWR
twrDamperFb,twrDamperXXXXFb,Tower Damper Feedback,Tower Damper XX Feedback,"twrDamper(\d{0,4})Fb",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"tower,damper,air,position,sensor",TWR
twrDefrost,twrDefrost,Tower Defrost,Tower Defrost,twrDefrost,Bool,On/Off,On/Off,,,,,,,"tower,defrost,cmd",TWR
twrDrainValve,twrDrainValve,Tower Drain Valve Command,Tower Drain Valve Command,twrDrainValve,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,drain,valve,position,cmd",TWR
twrDrainValveFb,twrDrainValveFb,Tower Drain Valve Feedback,Tower Drain Valve Feedback,twrDrainValveFb,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,drain,valve,position,sensor",TWR
twrEnable,twrEnable,Tower Enable,Tower Enable,twrEnable,Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"condensed,water,enable,cmd",TWR
twrEnableSp,twrEnableSp,Tower Enable Setpoint,Tower Enable Setpoint,twrEnableSp,Number,,,fahrenheit,celsius,1,1,,,"condensed,water,enable,sp",TWR
twrEnteringFlow,twrEnteringFlow,Tower Entering Flow,Tower Entering Flow,twrEnteringFlow,Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,entering,flow,sensor",TWR
twrEnteringFlowMinSp,twrEnteringFlowMinSp,Tower Entering Flow Min Setpoint,Tower Entering Flow Min Setpoint,twrEnteringFlowMinSp,Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,entering,flow,min,sp",TWR
twrEnteringIsoValve,twrEnteringIsoValveXXXX,Tower Entering Isolation Valve Command,Tower Entering Isolation Valve XX Command,"twrEnteringIsoValve(\d{0,4})",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,entering,iso,valve,position,cmd",TWR
twrEnteringIsoValveFb,twrEnteringIsoValveXXXXFb,Tower Entering Isolation Valve Feedback,Tower Entering Isolation Valve XX Feedback,"twrEnteringIsoValve(\d{0,4})Fb",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,entering,iso,valve,position,sensor",TWR
twrEnteringIsoValveOvr,twrEnteringIsoValveXXXXOvr,Tower Entering Isolation Valve Override,Tower Entering Isolation Valve XX Override,"twrEnteringIsoValve(\d{0,4})Ovr",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,entering,iso,valve,position,ovr",TWR
twrEnteringPressure,twrEnteringPressure,Tower Entering Pressure,Tower Entering Pressure,twrEnteringPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,entering,pressure,sensor",TWR
twrEnteringPressureDb,twrEnteringPressureXXXXDb,Tower Entering Pressure Deadband,Tower Entering Pressure XX Deadband,"twrEnteringPressure(\d{0,4})Db",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,entering,pressure,deadband,sp",TWR
twrEnteringPressureHiSp,twrEnteringPressureXXXXHiSp,Tower Entering Pressure High Setpoint,Tower Entering Pressure XX High Setpoint,"twrEnteringPressure(\d{0,4})HiSp",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,entering,pressure,high,sp",TWR
twrEnteringPressureLoSp,twrEnteringPressureXXXXLoSp,Tower Entering Pressure Low Setpoint,Tower Entering Pressure XX Low Setpoint,"twrEnteringPressure(\d{0,4})LoSp",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,entering,pressure,low,sp",TWR
twrEnteringPressureMaxSp,twrEnteringPressureXXXXMaxSp,Tower Entering Pressure Max Reset Setpoint,Tower Entering Pressure XX Max Reset Setpoint,"twrEnteringPressure(\d{0,4})MaxSp",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,entering,pressure,max,sp",TWR
twrEnteringPressureMinSp,twrEnteringPressureXXXXMinSp,Tower Entering Pressure Min Reset Setpoint,Tower Entering Pressure XX Min Reset Setpoint,"twrEnteringPressure(\d{0,4})MinSp",Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,entering,pressure,min,sp",TWR
twrEnteringPressureSp,twrEnteringPressureSp,Tower Entering Pressure Setpoint,Tower Entering Pressure Setpoint,twrEnteringPressureSp,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,entering,pressure,effective,sp",TWR
twrEnteringTemp,twrEnteringTemp,Tower Entering Temperature,Tower Entering Temperature,twrEnteringTemp,Number,,,fahrenheit,celsius,1,1,,,"condensed,water,entering,temp,sensor",TWR
twrEqualizerValve,,Tower Equalizer Valve,,,Bool,Open/Closed,,,,,,,,,
twrFan,twrFanXXXX,Tower Fan Command,Tower Fan XX Command,"twrFan((?:(?!Lead)(?!Ovr)\w){0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"tower,air,fan,status,cmd",TWR
twrFanAlarm,twrFanXXXXAlarm,Tower Fan Alarm,Tower Fan XX Alarm,"twrFan(\w{0,4}(?=[A-Z]|$))Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tower,air,fan,alarm,common",TWR
twrFanAlarmReset,twrFanXXXXAlarmReset,Tower Fan Alarm Reset,Tower Fan XX Alarm Reset,"twrFan(\w{0,4}(?=[A-Z]|$))AlarmReset",Bool,Reset/Normal,Reset/Normal,,,,,,,"tower,air,fan,alarm,reset",TWR
twrFanBypass,twrFanXXXXBypass,Tower Fan Bypass,Tower Fan XX Bypass,"twrFan(\w{0,4}(?=[A-Z]|$))Bypass",Bool,Bypass/Normal,Bypass/Normal,,,,,,,"tower,air,fan,bypass,sensor",TWR
twrFanCurrent,twrFanXXXXCurrent,Tower Fan Current,Tower Fan XX Current,"twrFan(\w{0,4}(?=[A-Z]|$))Current",Number,,,ampere,ampere,1,1,,N,"tower,air,fan,current,sensor",TWR
twrFanDCVoltage,twrFanXXXXDCVoltage,Tower Fan DC Voltage,Tower Fan XX DC Voltage,"twrFan(\w{0,4}(?=[A-Z]|$))DCVoltage",Number,,,volt,volt,1,1,,,"tower,air,fan,dcVolt,sensor",TWR
twrFanDirection,twrFanXXXXDirection,Tower Fan Direction,Tower Fan XX Direction,"twrFan(\w{0,4}(?=[A-Z]|$))Direction",Bool,Forward/Reverse,Forward/Reverse,,,,,,,"tower,air,fan,direction,sensor",TWR
twrFanDirection,twrFanXXXXDirection,Tower Fan Direction,Tower Fan XX Direction,"twrFan(\w{0,4}(?=[A-Z]|$))Direction",Bool,Forward/Reverse,Forward/Reverse,,,,,,,"tower,air,fan,direction,cmd",TWR
twrFanDirectionOvr,twrFanXXXXDirectionOvr,Tower Fan Direction Override,Tower Fan XX Direction Override,"twrFan(\w{0,4}(?=[A-Z]|$))DirectionOvr",Bool,Forward/Reverse,Forward/Reverse,,,,,,,"tower,air,fan,direction,ovr",TWR
twrFanDirectionStatus,twrFanXXXXDirectionStatus,Tower Fan Direction Status,Tower Fan XX Direction Status,"twrFan(\w{0,4}(?=[A-Z]|$))DirectionStatus",Bool,Forward/Reverse,Forward/Reverse,,,,,,,"tower,air,fan,direction,sensor",TWR
twrFanDriveAlarm,twrFanXXXXDriveAlarm,Tower Fan Drive Alarm,Tower Fan XX Drive Alarm,"twrFan(\w{0,4}(?=[A-Z]|$))DriveAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tower,air,fan,drive,alarm",TWR
twrFanDriveTemp,twrFanXXXXDriveTemp,Tower Fan Drive Temperature,Tower Fan XX Drive Temperature,"twrFan(\w{0,4}(?=[A-Z]|$))DriveTemp",Number,,,fahrenheit,celsius,1,1,,,"tower,air,fan,driveTemp,sensor",TWR
twrFanEnergy,twrFanXXXXEnergy,Tower Fan Energy,Tower Fan XX Energy,"twrFan(\w{0,4}(?=[A-Z]|$))Energy",Number,,,kilowatt_hour,kilowatt_hour,0,0,,,"tower,air,fan,energy,sensor",TWR
twrFanEnteringPressure,twrFanXXXXEnteringPressure,Tower Fan Entering Pressure,Tower Fan XX Entering Pressure,"twrFan(\w{0,4}(?=[A-Z]|$))EnteringPressure",Number,,,inches_of_water,pascal,2,1,,,"tower,air,fan,entering,pressure,sensor",TWR
twrFanFault,twrFanXXXXFault,Tower Fan Fault,Tower Fan XX Fault,"twrFan(\w{0,4}(?=[A-Z]|$))Fault",Bool,Fault/Normal,Fault/Normal,,,,,,,"tower,air,fan,fault",TWR
twrFanFrequency,twrFanXXXXFrequency,Tower Fan Frequency,Tower Fan XX Frequency,"twrFan(\w{0,4}(?=[A-Z]|$))Frequency",Number,,,hertz,hertz,1,1,,,"tower,air,fan,freq,sensor",TWR
twrFanHandMode,twrFanXXXXHandMode,Tower Fan Hand/Auto Mode,Tower Fan XX Hand/Auto Mode,"twrFan(\w{0,4}(?=[A-Z]|$))HandMode",Bool,Hand/Auto,Hand/Auto,,,,,,,"tower,air,fan,handMode,sensor",TWR
twrFanLead,twrFanXXXXLead,Tower Fan Lead,Tower Fan XX Lead,"twrFan(\w{0,4}(?=[A-Z]|$))Lead",Bool,Lead 1/Lead 2,Lead 1/Lead 2,,,,,,,"tower,air,fan,lead,sp",TWR
twrFanLeadXor,twrFanLeadXor,Tower Fan Lead Change Over,Tower Fan Lead Change Over,twrFanLeadXor,Bool,On/Off,On/Off,,,,,,,"tower,air,fan,lead,changeOver,cmd",TWR
twrFanLeadXorRuntimeSp,twrFanLeadXorRuntimeSp,Tower Fan Lead Change Over Runtime Setpoint,Tower Fan Lead Change Over Runtime Setpoint,twrFanLeadXorRuntimeSp,Number,,,hour,hour,1,1,,,blacklist,TWR
twrFanLeavingPressure,twrFanXXXXLeavingPressure,Tower Fan Leaving Pressure,Tower Fan XX Leaving Pressure,"twrFan(\w{0,4}(?=[A-Z]|$))LeavingPressure",Number,,,inches_of_water,pascal,2,1,,,"tower,air,fan,leaving,pressure,sensor",TWR
twrFanMaintSwitch,twrFanXXXXMaintSwitch,Tower Fan Maintenance Switch,Tower Fan XX Maintenance Switch,"twrFan(\w{0,4}(?=[A-Z]|$))MaintSwitch",Bool,On/Off,On/Off,,,,,,,"tower,air,fan,maintenance,switch,cmd",TWR
twrFanMotorShortAlarm,twrFanXXXXMotorShortAlarm,Tower Fan Motor Short Alarm,Tower Fan XX Motor Short Alarm,"twrFan(\w{0,4}(?=[A-Z]|$))MotorShortAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tower,air,fan,motor,short,alarm",TWR
twrFanMotorSpeed,twrFanXXXXMotorSpeed,Tower Fan Motor Speed,Tower Fan XX Motor Speed,"twrFan(\w{0,4}(?=[A-Z]|$))MotorSpeed",Number,,,revolutions_per_minute,revolutions_per_minute,0,0,,,"tower,air,fan,motorSpeed,sensor",TWR
twrFanMotorTemp,twrFanXXXXMotorTemp,Tower Fan Motor Temperature,Tower Fan XX Motor Temperature,"twrFan(\w{0,4}(?=[A-Z]|$))MotorTemp",Number,,,fahrenheit,celsius,1,1,,,"tower,air,fan,motorTemp,sensor",TWR
twrFanOvr,twrFanXXXXOvr,Tower Fan Override,Tower Fan XX Override,"twrFan(\w{0,4}(?=[A-Z]|$))Ovr",Bool,On/Off,On/Off,,,,,,,"tower,air,fan,status,ovr",TWR
twrFanPowerReal,twrFanXXXXPowerReal,Tower Fan Real Power,Tower Fan XX Real Power,"twrFan(\w{0,4}(?=[A-Z]|$))PowerReal",Number,,,kilowatt,kilowatt,1,1,,N,"tower,air,fan,power,real,sensor",TWR
twrFanPressureDelta,twrFanXXXXPressureDelta,Tower Fan Pressure Delta,Tower Fan XX Pressure Delta,"twrFan(\w{0,4}(?=[A-Z]|$))PressureDelta",Number,,,inches_of_water,pascal,2,1,,,"tower,air,fan,common,pressure,delta,sensor",TWR
twrFanPressureHiAlarm,twrFanXXXXPressureHiAlarm,Tower Fan Pressure High Alarm,Tower Fan XX Pressure High Alarm,"twrFan(\w{0,4}(?=[A-Z]|$))PressureHiAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tower,air,fan,pressure,high,alarm",TWR
twrFanPressureHiSp,twrFanXXXXPressureHiSp,Tower Fan Pressure High Setpoint,Tower Fan XX Pressure High Setpoint,"twrFan(\w{0,4}(?=[A-Z]|$))PressureHiSp",Number,,,inches_of_water,pascal,2,1,,,"tower,air,fan,pressure,high,sp",TWR
twrFanPressureLoAlarm,twrFanXXXXPressureLoAlarm,Tower Fan Pressure Low Alarm,Tower Fan XX Pressure Low Alarm,"twrFan(\w{0,4}(?=[A-Z]|$))PressureLoAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tower,air,fan,pressure,low,alarm",TWR
twrFanPressureLoSp,twrFanXXXXPressureLoSp,Tower Fan Pressure Low Setpoint,Tower Fan XX Pressure Low Setpoint,"twrFan(\w{0,4}(?=[A-Z]|$))PressureLoSp",Number,,,inches_of_water,pascal,2,1,,,"tower,air,fan,pressure,low,sp",TWR
twrFanRuntime,twrFanXXXXRuntime,Tower Fan Runtime,Tower Fan XX Runtime,"twrFan(\w{0,4}(?=[A-Z]|$))Runtime",Number,,,hour,hour,1,1,,,blacklist,TWR
twrFanRuntime,twrFanXXXXRuntime,Tower Fan Runtime,Tower Fan XX Runtime,"twrFan(\w{0,4}(?=[A-Z]|$))Runtime",Number,,,hour,hour,1,1,,,blacklist,TWR
twrFanSpeed,twrFanXXXXSpeed,Tower Fan Speed,Tower Fan XX Speed,"twrFan(\w{0,4}(?=[A-Z]|$))Speed",Number,,,percent,percent,1,1,,,"tower,air,fan,speed,cmd",TWR
twrFanSpeedFb,twrFanXXXXSpeedFb,Tower Fan Speed Feedback,Tower Fan XX Speed Feedback,"twrFan(\w{0,4}(?=[A-Z]|$))SpeedFb",Number,,,percent,percent,1,1,,,"tower,air,fan,speed,sensor",TWR
twrFanSpeedMaxSp,twrFanXXXXSpeedMaxSp,Tower Fan Speed Max Setpoint,Tower Fan XX Speed Max Setpoint,"twrFan(\w{0,4}(?=[A-Z]|$))SpeedMaxSp",Number,,,percent,percent,1,1,,,"tower,air,fan,speed,max,sp",TWR
twrFanSpeedMinSp,twrFanXXXXSpeedMinSp,Tower Fan Speed Min Setpoint,Tower Fan XX Speed Min Setpoint,"twrFan(\w{0,4}(?=[A-Z]|$))SpeedMinSp",Number,,,percent,percent,1,1,,,"tower,air,fan,speed,min,sp",TWR
twrFanSpeedOvr,twrFanXXXXSpeedOvr,Tower Fan Speed Override,Tower Fan XX Speed Override,"twrFan(\w{0,4}(?=[A-Z]|$))SpeedOvr",Number,,,percent,percent,1,1,,,"tower,air,fan,speed,ovr",TWR
twrFanSpeedSp,twrFanXXXXSpeedSp,Tower Fan Speed Setpoint,Tower Fan XX Speed Setpoint,"twrFan(\w{0,4}(?=[A-Z]|$))SpeedSp",Number,,,percent,percent,1,1,,,"tower,air,fan,speed,effective,sp",TWR
twrFanSpeedStage,twrFanXXXXSpeedStage,Tower Fan Speed Stage Command,Tower Fan XX Speed Stage Command,"twrFan(\w{0,4}(?=[A-Z]|$))SpeedStage",Bool,On/Off,On/Off,,,,,,,"tower,air,fan,speed,stage",TWR
twrFanStage,twrFanXXXXStageYYYY,Tower Fan Stage Command,Tower Fan XX Stage YY Command,"twrFan(\w{0,4}(?=[A-Z]|$))Stage(\d{0,4})",Bool,On/Off,On/Off,,,,,YY,,"tower,air,fan,cmd",TWR
twrFanStageSp,twrFanXXXXStageYYYYSp,Tower Fan Stage Setpoint,Tower Fan XX Stage YY Setpoint,"twrFan(\w{0,4}(?=[A-Z]|$))Stage(\d{0,4})Sp",Number,,,percent,percent,1,1,YY,,"tower,air,fan,sp",TWR
twrFanStarts,twrFanXXXXStarts,Tower Fan Starts,Tower Fan XX Starts,"twrFan(\w{0,4}(?=[A-Z]|$))Starts",Number,,,,,0,0,,,"tower,air,fan,starts,sensor",TWR
twrFanStatus,twrFanXXXXStatus,Tower Fan Status,Tower Fan XX Status,"twrFan(\w{0,4}(?=[A-Z]|$))Status",Bool,On/Off,On/Off,,,,,,,"tower,air,fan,status,sensor",TWR
twrFanTorque,twrFanXXXXTorque,Tower Fan Torque,Tower Fan XX Torque,"twrFan(\w{0,4}(?=[A-Z]|$))Torque",Number,,,percent,percent,1,1,,,"tower,air,fan,torque,sensor",TWR
twrFanVoltage,twrFanXXXXVoltage,Tower Fan Voltage,Tower Fan XX Voltage,"twrFan((?:(?!DC)\w){0,4}(?=[A-Z]|$))Voltage",Number,,,volt,volt,1,1,,N,"tower,air,fan,volt,sensor",TWR
twrFillFlow,twrFillFlow,Tower Fill Flow,Tower Fill Flow,twrFillFlow,Number,,,gallons_per_minute,liters_per_minute,1,1,,,"tower,water,fill,flow,sensor",TWR
twrFillValve,twrFillValve,Tower Fill Valve Command,Tower Fill Valve Command,twrFillValve,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,fill,valve,position,cmd",TWR
twrFillValveFb,twrFillValveFb,Tower Fill Valve Feedback,Tower Fill Valve Feedback,twrFillValveFb,Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,fill,valve,position,sensor",TWR
twrFillVolume,twrFillVolume,Tower Fill Volume,Tower Fill Volume,twrFillVolume,Number,,,gallon,liter,0,0,,,"tower,water,fill,volume,sensor",TWR
twrFlowDelta,twrFlowDelta,Tower Flow Differential,Tower Flow Differential,twrFlowDelta,Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,delta,flow,sensor",TWR
twrLagReq,twrLagReq,Tower Lag Request,Tower Lag Request,twrLagReq,Bool,Request/No Request,Request/No Request,,,,,,,"tower,common,lag,request,cmd",TWR
twrLead,twrLead,Tower Lead,Tower Lead,twrLead,Bool,Lead 1/Lead 2,Lead 1/Lead 2,,,,,,,"tower,common,lead,sp",TWR
twrLeadXor,twrLeadXor,Tower Lead Change Over,Tower Lead Change Over,twrLeadXor,Bool,On/Off,On/Off,,,,,,,"tower,common,lead,changeOver,cmd",TWR
twrLeadXorRuntimeSp,twrLeadXorRuntimeSp,Tower Lead Change Over Runtime Setpoint,Tower Lead Change Over Runtime Setpoint,twrLeadXorRuntimeSp,Number,,,hour,hour,1,1,,,blacklist,TWR
twrLeavingFlow,twrLeavingFlow,Tower Entering Flow,Tower Entering Flow,twrLeavingFlow,Number,,,gallons_per_minute,liters_per_minute,1,1,,,"condensed,water,leaving,flow,sensor",TWR
twrLeavingIsoValve,twrLeavingIsoValveXXXX,Tower Leaving Isolation Valve Command,Tower Leaving Isolation Valve XX Command,"twrLeavingIsoValve(\d{0,4})",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,leaving,iso,valve,position,cmd",TWR
twrLeavingIsoValveFb,twrLeavingIsoValveXXXXFb,Tower Leaving Isolation Valve Feedback,Tower Leaving Isolation Valve XX Feedback,"twrLeavingIsoValve(\d{0,4})Fb",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,leaving,iso,valve,position,sensor",TWR
twrLeavingIsoValveOvr,twrLeavingIsoValveXXXXOvr,Tower Leaving Isolation Valve Override,Tower Leaving Isolation Valve XX Override,"twrLeavingIsoValve(\d{0,4})Ovr",Bool,Open/Closed,Open/Closed,percent,percent,1,1,,,"condensed,water,leaving,iso,valve,position,ovr",TWR
twrLeavingPressure,twrLeavingPressure,Tower Leaving Pressure,Tower Leaving Pressure,twrLeavingPressure,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,leaving,pressure,sensor",TWR
twrLeavingTemp,twrLeavingTemp,Tower Leaving Temperature,Tower Leaving Temperature,twrLeavingTemp,Number,,,fahrenheit,celsius,1,1,,,"condensed,water,leaving,temp,sensor",TWR
twrLeavingTempDb,twrLeavingTempDb,Tower Leaving Temperature Deadband,Tower Leaving Temperature Deadband,twrLeavingTempDb,Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"condensed,water,leaving,temp,deadband,sp",TWR
twrLeavingTempHiAlarm,twrLeavingTempHiAlarm,Tower Leaving Temperature High Alarm,Tower Leaving Temperature High Alarm,twrLeavingTempHiAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"condensed,water,leaving,temp,high,alarm",TWR
twrLeavingTempHiSp,twrLeavingTempHiSp,Tower Leaving Temperature High Setpoint,Tower Leaving Temperature High Setpoint,twrLeavingTempHiSp,Number,,,fahrenheit,celsius,1,1,,,"condensed,water,leaving,temp,high,sp",TWR
twrLeavingTempLoAlarm,twrLeavingTempLoAlarm,Tower Leaving Temperature Low Alarm,Tower Leaving Temperature Low Alarm,twrLeavingTempLoAlarm,Bool,Alarm/Normal,Alarm/Normal,,,,,,,"condensed,water,leaving,temp,low,alarm",TWR
twrLeavingTempLoSp,twrLeavingTempLoSp,Tower Leaving Temperature Low Setpoint,Tower Leaving Temperature Low Setpoint,twrLeavingTempLoSp,Number,,,fahrenheit,celsius,1,1,,,"condensed,water,leaving,temp,low,sp",TWR
twrLeavingTempMaxSp,twrLeavingTempMaxSp,Tower Leaving Temperature Max Reset Setpoint,Tower Leaving Temperature Max Reset Setpoint,twrLeavingTempMaxSp,Number,,,fahrenheit,celsius,1,1,,,"condensed,water,leaving,temp,max,sp",TWR
twrLeavingTempMinSp,twrLeavingTempMinSp,Tower Leaving Temperature Min Reset Setpoint,Tower Leaving Temperature Min Reset Setpoint,twrLeavingTempMinSp,Number,,,fahrenheit,celsius,1,1,,,"condensed,water,leaving,temp,min,sp",TWR
twrLeavingTempSp,twrLeavingTempSp,Tower Leaving Temperature Setpoint,Tower Leaving Temperature Setpoint,twrLeavingTempSp,Number,,,fahrenheit,celsius,1,1,,,"condensed,water,leaving,temp,effective,sp",TWR
twrLoad,twrLoad,Tower Load,Tower Load,twrLoad,Number,,,percent,percent,1,1,,,"tower,load,sensor",TWR
twrPressureDelta,twrPressureDelta,Tower Pressure Differential,Tower Pressure Differential,twrPressureDelta,Number,,,pounds_per_square_inch,kilopascal,1,1,,,"condensed,water,delta,pressure,sensor",TWR
twrPump,twrPumpXXXX,Tower Pump Command,Tower Pump XX Command,"twrPump((?:(?!Ovr)\w){0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"tower,water,pump,status,cmd",TWR
twrPump,twrPumpXXXX,Tower Pump Command,Tower Pump XX Command,"twrPump((?:(?!Lead)(?!Ovr)\w){0,4}(?=[A-Z]|$))",Bool,On/Off,On/Off,,,,,,,"tower,water,pump,status,cmd",TWR
twrPumpAlarm,twrPumpXXXXAlarm,Tower Pump Alarm,Tower Pump XX Alarm,"twrPump(\w{0,4}(?=[A-Z]|$))Alarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tower,water,pump,common,alarm",TWR
twrPumpAlarmReset,twrPumpXXXXAlarmReset,Tower Pump Alarm Reset,Tower Pump XX Alarm Reset,"twrPump(\w{0,4}(?=[A-Z]|$))AlarmReset",Bool,Reset/Normal,Reset/Normal,,,,,,,"tower,water,pump,reset,alarm",TWR
twrPumpBypass,twrPumpXXXXBypass,Tower Pump Bypass,Tower Pump XX Bypass,"twrPump(\w{0,4}(?=[A-Z]|$))Bypass",Bool,Bypass/Normal,Bypass/Normal,,,,,,,"tower,water,pump,bypass,sensor",TWR
twrPumpCurrent,twrPumpXXXXCurrent,Tower Pump Current,Tower Pump XX Current,"twrPump(\w{0,4}(?=[A-Z]|$))Current",Number,,,ampere,ampere,1,1,,N,"tower,water,pump,current,sensor",TWR
twrPumpDCVoltage,twrPumpXXXXDCVoltage,Tower Pump DC Voltage,Tower Pump XX DC Voltage,"twrPump(\w{0,4}(?=[A-Z]|$))DCVoltage",Number,,,volt,volt,1,1,,,"tower,water,pump,dcVolt,sensor",TWR
twrPumpDirection,twrPumpXXXXDirection,Tower Pump Direction,Tower Pump XX Direction,"twrPump(\w{0,4}(?=[A-Z]|$))Direction",Bool,Forward/Reverse,Forward/Reverse,,,,,,,"tower,water,pump,direction,cmd",TWR
twrPumpDriveAlarm,twrPumpXXXXDriveAlarm,Tower Pump Drive Alarm,Tower Pump XX Drive Alarm,"twrPump(\w{0,4}(?=[A-Z]|$))DriveAlarm",Bool,Alarm/Normal,Alarm/Normal,,,,,,,"tower,water,pump,drive,alarm",TWR
twrPumpDriveTemp,twrPumpXXXXDriveTemp,Tower Pump Drive Temperature,Tower Pump XX Drive Temperature,"twrPump(\w{0,4}(?=[A-Z]|$))DriveTemp",Number,,,fahrenheit,celsius,1,1,,,"tower,water,pump,driveTemp,sensor",TWR
twrPumpEnable,twrPumpXXXXEnable,Tower Pump Enable Command,Tower Pump XX Enable Command,"twrPump(\w{0,4}(?=[A-Z]|$))Enable",Bool,Enabled/Disabled,Enabled/Disabled,,,,,,,"tower,water,pump,enable,cmd",TWR
twrPumpEnableDb,twrPumpXXXXEnableDb,Tower Pump Enable Deadband,Tower Pump XX Enable Deadband,"twrPump(\w{0,4}(?=[A-Z]|$))EnableDb",Number,,,fahrenheit_degrees,celsius_degrees,1,1,,,"tower,water,pump,enable,deadband,sp",TWR
